,File Path,File Name,Extension,Size (MB),Modification Time,Access Time,Creation Time,Parent Directory,Is File,Is Symlink,Absolute Path,Metadata
0,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\2021_Census_English.csv,2021_Census_English.csv,.csv,5.384414,2024-01-15 15:33:58,2024-01-17 18:54:18,2024-01-15 15:33:58,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\2021_Census_English.csv,"{'encoding': 'ISO-8859-1', 'num_rows': 36835, 'num_cols': 23, 'num_cells': 847205, 'empty_cells': 253932}"
1,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\HealthCanadaOverviewFromWikipedia_Locked.docx,HealthCanadaOverviewFromWikipedia_Locked.docx,.docx,0.019456,2024-01-15 15:33:58,2024-01-17 18:54:18,2024-01-15 15:33:58,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\HealthCanadaOverviewFromWikipedia_Locked.docx,"{'author': None, 'last_modified_by': None, 'has_password': True}"
2,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\Microsoft Copilot Presentation - Copy.pptx,Microsoft Copilot Presentation - Copy.pptx,.pptx,100.174789,2024-01-15 15:33:59,2024-01-17 18:54:18,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\Microsoft Copilot Presentation - Copy.pptx,"{'author': '', 'last_modified_by': 'Prazuch, Karolina (HC/SC)', 'num_slides': 33, 'has_password': False}"
3,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\Test_excel_file.xlsx,Test_excel_file.xlsx,.xlsx,0.011885,2024-01-15 15:33:59,2024-01-17 18:54:19,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\Test_excel_file.xlsx,"{'active_sheet': 'Sheet3', 'sheet_names': ['Sheet1', 'Sheet2', 'Sheet3'], 'data': {'Sheet1': [(1, 2, 3, None, None), ('a', 'b', 'c', None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (4, None, None, None, None), ('d', None, None, None, None), (None, None, None, None, 't')], 'Sheet2': [(None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, 'h')], 'Sheet3': [(None, None, None, None, None, None, None), ('Column1', 'Column2', 'Column3', 'Column4', 'Column5', 'Column6', 'Column7'), (234, 423, 2, 3, 98, 7890, 9876), (5, 6, 7, 8, 9, 5, None), (None, 9876, 98, 6, 879, None, None), (98769, None, None, 8976, None, None, 8796), (None, None, 7, 79, 897, None, 879), (None, 87, 987, 7, 7, None, 8), (None, 65, 6565, None, None, 5, 55), (None, None, None, None, None, None, 675), (None, None, 655656, None, None, 56, None), (656565, None, None, None, None, 56, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), ('antidisestablishmentarianism', None, None, None, None, None, None)]}, 'last_modified_by': 'Burnett, Taylen (HC/SC)', 'creator': 'Burnett, Taylen (HC/SC)', 'has_password': False}"
4,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\0.1.2.3.4.5\HealthCanadaOverviewFromWikipedia.pptx,HealthCanadaOverviewFromWikipedia.pptx,.pptx,0.037021,2024-01-15 15:33:58,2024-01-17 18:54:19,2024-01-15 15:33:58,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\0.1.2.3.4.5,1,0,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\0.1.2.3.4.5\HealthCanadaOverviewFromWikipedia.pptx,"{'author': 'Test Author One', 'last_modified_by': 'Test last_modified_by One', 'num_slides': 4, 'has_password': False}"
5,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\directory_test_files\HealthCanadaOverviewFromWikipedia.pptx,HealthCanadaOverviewFromWikipedia.pptx,.pptx,0.037021,2024-01-15 15:33:59,2024-01-17 18:54:19,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\directory_test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\directory_test_files\directory_test_files\HealthCanadaOverviewFromWikipedia.pptx,"{'author': 'Test Author One', 'last_modified_by': 'Test last_modified_by One', 'num_slides': 4, 'has_password': False}"
6,C:\Users\BLUO\Downloads\report\tests\resources\test_files\2021_Census_English.csv,2021_Census_English.csv,.csv,5.384414,2024-01-15 15:33:59,2024-01-17 18:54:28,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\2021_Census_English.csv,"{'encoding': 'ISO-8859-1', 'num_rows': 36835, 'num_cols': 23, 'num_cells': 847205, 'empty_cells': 253932}"
7,C:\Users\BLUO\Downloads\report\tests\resources\test_files\2021_Census_English_corrupted.csv,2021_Census_English_corrupted.csv,.csv,5.347579,2024-01-15 15:33:59,2024-01-17 19:31:56,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\2021_Census_English_corrupted.csv,{'error': 'FileProcessingFailedError'}
8,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Approved_Schools_2023_10_01.csv,Approved_Schools_2023_10_01.csv,.csv,1.4459,2024-01-15 15:33:59,2024-01-17 18:54:49,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Approved_Schools_2023_10_01.csv,"{'encoding': 'UTF-8-SIG', 'num_rows': 5385, 'num_cols': 13, 'num_cells': 70005, 'empty_cells': 73}"
9,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Government.xlsx,Government.xlsx,.xlsx,0.077201,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Government.xlsx,"{'active_sheet': 'Government of Canada', 'sheet_names': ['Health Canada', 'Government of Canada'], 'data': {'Health Canada': [('Department overview', None), ('Type', 'Department responsible for federal health policy in Canada'), ('Jurisdiction', 'Canada'), ('Headquarters', 'Ottawa, ON'), ('Employees', '11,223 (March 2020)[1]'), ('Annual budget', '$3.9 billion (2021â€“22)[2]'), ('Ministers responsible', 'Hon.\xa0Mark Holland,\xa0Minister of Health'), (None, ""Hon.\xa0Ya'ara Saks,\xa0Associate Minister of Health\xa0and\xa0Minister of Mental Health and Addictions""), ('Department executives', 'Dr. Stephen Lucas,\xa0Deputy Minister'), (None, 'Heather Jeffrey, Associate Deputy Minister'), ('Website', 'www.hc-sc.gc.ca')], 'Government of Canada': [('Constitutional monarchy', None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), ('Coat of arms of Canada', None), ('Formation', '1\xa0July 1867; 156 years ago'), ('Founding document', 'Constitution Act, 1867'), ('Country', 'Canada'), ('Website', 'www.canada.ca'), ('Crown', None), ('Head of state (sovereign)', 'Monarch'), ('Vice-regal representative', 'Governor General'), ('Seat', 'Rideau Hall'), ('Legislative', None), ('(King-in-Parliament)', None), ('Legislature', 'Parliament'), (None, 'House of Commons'), (None, 'Senate'), ('Meeting place', 'House of Commons:\xa0West Block[1]'), (None, 'Senate:\xa0Senate of Canada Building[2]'), ('Executive', None), ('(King-in-Council)', None), ('Head of government', 'Prime Minister'), ('Main body', 'Cabinet'), ('Main organ', 'Privy Council\xa0(de jure)'), (None, 'Cabinet\xa0(de facto)'), ('Judicial', None), ('(King-on-the-Bench)', None), ('Court', 'Supreme Court of Canada\xa0(highest court)'), ('Seat', 'Supreme Court Building,\xa0Ottawa')]}, 'last_modified_by': 'Prazuch, Karolina (HC/SC)', 'creator': 'Prazuch, Karolina (HC/SC)', 'has_password': False}"
10,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia.docx,HealthCanadaOverviewFromWikipedia.docx,.docx,0.011001,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia.docx,"{'author': 'Test Author One', 'last_modified_by': 'Test last_modified_by One', 'has_password': False}"
11,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia.pptx,HealthCanadaOverviewFromWikipedia.pptx,.pptx,0.037021,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia.pptx,"{'author': 'Test Author One', 'last_modified_by': 'Test last_modified_by One', 'num_slides': 4, 'has_password': False}"
12,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_corrupted.docx,HealthCanadaOverviewFromWikipedia_corrupted.docx,.docx,0.011001,2024-01-15 15:33:59,2024-01-17 19:32:00,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_corrupted.docx,{'error': 'FileCorruptionError'}
13,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_corrupted.pptx,HealthCanadaOverviewFromWikipedia_corrupted.pptx,.pptx,0.037021,2024-01-15 15:33:59,2024-01-17 19:32:00,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_corrupted.pptx,{'error': 'FileCorruptionError'}
14,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_Locked.docx,HealthCanadaOverviewFromWikipedia_Locked.docx,.docx,0.019456,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_Locked.docx,"{'author': None, 'last_modified_by': None, 'has_password': True}"
15,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_Locked.pptx,HealthCanadaOverviewFromWikipedia_Locked.pptx,.pptx,0.047104,2024-01-15 15:33:59,2024-01-17 19:28:39,2024-01-15 15:33:59,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\HealthCanadaOverviewFromWikipedia_Locked.pptx,"{'author': None, 'last_modified_by': None, 'num_slides': None, 'has_password': True}"
16,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport.docx,SampleReport.docx,.docx,0.013999,2024-01-15 15:34:00,2024-01-17 19:28:43,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport.docx,"{'author': 'Second Test Author', 'last_modified_by': 'last_modified_by Test Author', 'has_password': False}"
17,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport.pptx,SampleReport.pptx,.pptx,0.047541,2024-01-15 15:34:00,2024-01-17 19:28:43,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport.pptx,"{'author': 'Second Test Author', 'last_modified_by': 'last_modified_by Test Author', 'num_slides': 5, 'has_password': False}"
18,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport_Locked.docx,SampleReport_Locked.docx,.docx,0.02304,2024-01-15 15:34:00,2024-01-17 19:28:43,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport_Locked.docx,"{'author': None, 'last_modified_by': None, 'has_password': True}"
19,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport_Locked.pptx,SampleReport_Locked.pptx,.pptx,0.058368,2024-01-15 15:34:00,2024-01-17 19:28:44,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\SampleReport_Locked.pptx,"{'author': None, 'last_modified_by': None, 'num_slides': None, 'has_password': True}"
20,C:\Users\BLUO\Downloads\report\tests\resources\test_files\StructureofCanadianFederalGovFromWikipedia_Locked.xlsx,StructureofCanadianFederalGovFromWikipedia_Locked.xlsx,.xlsx,0.04608,2024-01-15 15:34:00,2024-01-17 19:28:44,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\StructureofCanadianFederalGovFromWikipedia_Locked.xlsx,"{'active_sheet': None, 'sheet_names': None, 'data': None, 'last_modified_by': None, 'creator': None, 'has_password': True}"
21,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file.xlsx,Test_excel_file.xlsx,.xlsx,0.011885,2024-01-15 15:34:00,2024-01-17 19:28:44,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file.xlsx,"{'active_sheet': 'Sheet3', 'sheet_names': ['Sheet1', 'Sheet2', 'Sheet3'], 'data': {'Sheet1': [(1, 2, 3, None, None), ('a', 'b', 'c', None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (None, None, None, None, None), (4, None, None, None, None), ('d', None, None, None, None), (None, None, None, None, 't')], 'Sheet2': [(None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, 'h')], 'Sheet3': [(None, None, None, None, None, None, None), ('Column1', 'Column2', 'Column3', 'Column4', 'Column5', 'Column6', 'Column7'), (234, 423, 2, 3, 98, 7890, 9876), (5, 6, 7, 8, 9, 5, None), (None, 9876, 98, 6, 879, None, None), (98769, None, None, 8976, None, None, 8796), (None, None, 7, 79, 897, None, 879), (None, 87, 987, 7, 7, None, 8), (None, 65, 6565, None, None, 5, 55), (None, None, None, None, None, None, 675), (None, None, 655656, None, None, 56, None), (656565, None, None, None, None, 56, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), (None, None, None, None, None, None, None), ('antidisestablishmentarianism', None, None, None, None, None, None)]}, 'last_modified_by': 'Burnett, Taylen (HC/SC)', 'creator': 'Burnett, Taylen (HC/SC)', 'has_password': False}"
22,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file_corrupted.xlsx,Test_excel_file_corrupted.xlsx,.xlsx,0.011885,2024-01-15 15:34:00,2024-01-17 19:32:01,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file_corrupted.xlsx,{'error': 'FileCorruptionError'}
23,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file_Locked.xlsx,Test_excel_file_Locked.xlsx,.xlsx,0.018432,2024-01-15 15:34:00,2024-01-17 19:28:44,2024-01-15 15:34:00,C:\Users\BLUO\Downloads\report\tests\resources\test_files,1,0,C:\Users\BLUO\Downloads\report\tests\resources\test_files\Test_excel_file_Locked.xlsx,"{'active_sheet': None, 'sheet_names': None, 'data': None, 'last_modified_by': None, 'creator': None, 'has_password': True}"
